rej,n,a0.005,a0.01,a0.025,a0.05
-1,5,"","","",0
-1,6,"","",0,2
-1,7,"",0,2,3
-1,8,0,1,3,5
-1,9,1,3,5,8
-1,10,3,5,8,10
-1,11,5,7,10,13
-1,12,7,9,13,17
-1,13,9,12,17,21
-1,14,12,15,21,25
-1,15,15,19,25,30
-1,16,19,23,29,35
-1,17,23,27,34,41
-1,18,27,32,40,47
-1,19,32,37,46,53
-1,20,37,43,52,60
1,5,"","","",15
1,6,"","",21,19
1,7,"",28,26,25
1,8,36,35,33,31
1,9,44,42,40,37
1,10,52,50,47,45
1,11,61,59,56,53
1,12,71,69,65,61
1,13,82,79,74,70
1,14,93,90,84,80
1,15,105,101,95,90
1,16,117,113,107,101
1,17,130,126,119,112
1,18,144,139,131,124
1,19,158,153,144,137
1,20,173,167,158,150
